event,channel,waveform_index_save,dt_ns_coinc,dt_ns_save,channel_coincident_left,waveform_index_coincident_left,channel_coincident_right,waveform_index_coincident_right
1,2050,109,-48,-16,2010,581,2080,198
1,2050,119,-96,0,2010,583,2081,560
1,2050,122,-32,-48,2011,461,2080,211
1,2050,124,-80,16,2010,586,2080,213
1,2051,144,-48,-32,2010,581,2080,198
1,2051,155,-64,-16,2010,583,2080,209
1,2051,158,-32,-32,2011,461,2080,211
1,2051,160,0,-32,2010,586,2071,533
1,2060,235,48,0,2010,581,2070,472
1,2060,245,-64,16,2010,583,2080,209
1,2060,248,-32,16,2011,461,2080,211
1,2060,249,0,-32,2010,586,2071,533
1,2061,327,32,0,2011,456,2070,472
1,2061,337,-64,32,2010,583,2080,209
1,2061,340,-32,16,2011,461,2080,211
1,2061,341,0,-16,2010,586,2071,533
2,2050,235,-96,-16,2010,136,2081,492
2,2050,254,-48,-16,2010,147,2081,519
2,2051,156,-96,16,2010,136,2081,492
2,2051,174,-48,0,2010,147,2081,519
2,2060,263,-48,16,2010,136,2080,185
2,2060,283,-32,16,2010,147,2080,211
2,2061,343,-48,32,2010,136,2080,185
2,2061,360,-32,32,2010,147,2080,211
3,2050,109,64,224,2010,46,2080,187
3,2050,110,-96,-32,2011,422,2080,188
3,2050,121,-64,-16,2010,54,2080,194
3,2050,123,96,208,2011,431,2080,196
3,2050,128,-32,0,2011,433,2081,331
3,2050,133,-32,-48,2010,59,2081,339
3,2051,141,-96,0,2011,422,2080,188
3,2051,150,-64,-16,2010,54,2080,194
3,2051,152,96,144,2011,431,2080,196
3,2051,155,-16,0,2011,433,2080,199
3,2051,159,-32,0,2010,59,2081,339
3,2060,215,-96,48,2011,422,2080,188
3,2060,224,-48,32,2010,54,2081,324
3,2060,226,96,128,2011,431,2080,196
3,2060,231,32,32,2010,58,2071,452
3,2060,237,-32,16,2010,59,2081,339
3,2061,289,-96,32,2011,422,2080,188
3,2061,299,96,144,2011,431,2080,196
3,2061,304,32,16,2010,58,2071,452
3,2061,309,-32,32,2010,59,2081,339
4,2050,222,-64,0,2010,166,2080,252
4,2050,225,-112,16,2010,169,2081,42
4,2050,236,-32,0,2010,175,2081,48
